stop_id,stop_name
11356,NE 45th St & 17th Ave NE
11357,NE 45th St & 20th Ave NE
25201,NE 45th St & University Village
25202,NE 45th St & University Village
25210,Montlake Blvd NE & NE 45th St
25240,Montlake Blvd NE & NE Pacific Pl - Bay 3
25755,Montlake Blvd NE & NE Pacific Pl - Bay 4
25765,Montlake Blvd NE & NE Pacific Pl - Bay 5
25790,Montlake Blvd NE & NE 45th St
29240,NE Pacific St & 15th Ave NE
29242,NE Pacific Pl & NE Pacific St
29243,NE Pacific Pl & NE Pacific St
29405,NE Pacific St & Montlake Blvd NE - Bay 2
29420,NE Pacific St & 15th Ave NE
29889,NE 45th St & Memorial Way NE
29891,NE 45th St & 19th Ave NE
75402,Stevens Way & Rainier Vista NE
75403,East Stevens Way NE & Benton Ln
75404,W Stevens Way & Okanaogan Ln
75405,West Stevens Way NE Way NE & George Washington Ln
75406,East Stevens Way NE & Pend Oreille Rd
75410,Stevens Way & Pend Oreille Rd
75414,Stevens Way & Benton Ln
75415,Stevens Way & Rainier Vista NE
75417,Stevens Way & Okanogan Ln
75418,Stevens Way & Asotin Pl
